time	-I(Ls1)	-I(Ls2)
3.763107199787328e-010	5.550797e-003	1.243347e-002
3.773107199787328e-010	5.532880e-003	1.223304e-002
3.783107199787328e-010	5.514089e-003	1.202925e-002
3.793107199787328e-010	5.494563e-003	1.182212e-002
3.803107199787328e-010	5.474440e-003	1.161167e-002
3.813107199787328e-010	5.453855e-003	1.139790e-002
3.823107199787328e-010	5.432941e-003	1.118085e-002
3.833107199787328e-010	5.411824e-003	1.096050e-002
3.843107199787328e-010	5.390632e-003	1.073690e-002
3.853107199787328e-010	5.369484e-003	1.051004e-002
3.863107199787328e-010	5.348499e-003	1.027994e-002
3.873107199787328e-010	5.327791e-003	1.004663e-002
3.883107199787328e-010	5.307469e-003	9.810111e-003
3.893107199787328e-010	5.287638e-003	9.570408e-003
3.903107199787327e-010	5.268401e-003	9.327537e-003
3.913107199787327e-010	5.249850e-003	9.081519e-003
3.923107199787327e-010	5.232081e-003	8.832375e-003
3.933107199787327e-010	5.215177e-003	8.580123e-003
3.943107199787327e-010	5.199221e-003	8.324789e-003
3.953107199787327e-010	5.184290e-003	8.066395e-003
3.963107199787327e-010	5.170454e-003	7.804969e-003
3.973107199787327e-010	5.157781e-003	7.540536e-003
3.983107199787327e-010	5.146330e-003	7.273125e-003
3.993107199787327e-010	5.136156e-003	7.002768e-003
4.003107199787327e-010	5.127311e-003	6.729499e-003
4.013107199787327e-010	5.119838e-003	6.453350e-003
4.023107199787327e-010	5.113776e-003	6.174361e-003
4.033107199787327e-010	5.109158e-003	5.892573e-003
4.043107199787327e-010	5.106013e-003	5.608030e-003
4.053107199787327e-010	5.104363e-003	5.320776e-003
4.063107199787327e-010	5.104224e-003	5.030863e-003
4.073107199787327e-010	5.105608e-003	4.738345e-003
4.083107199787327e-010	5.108519e-003	4.443279e-003
4.093107199787327e-010	5.112958e-003	4.145730e-003
4.103107199787327e-010	5.118920e-003	3.845765e-003
4.113107199787327e-010	5.126394e-003	3.543458e-003
4.123107199787327e-010	5.135362e-003	3.238889e-003
