time	V(VCj1a,VCj2b)	V(VCj2a,VCj2b)
3.163107199787330e-010	-1.884875e+000	3.585193e-001
3.173107199787330e-010	-1.883300e+000	3.585888e-001
3.193107199787330e-010	-1.877643e+000	3.587048e-001
3.213107199787330e-010	-1.868735e+000	3.587911e-001
3.233107199787330e-010	-1.856699e+000	3.588477e-001
3.253107199787330e-010	-1.841662e+000	3.588753e-001
3.263107199787330e-010	-1.833062e+000	3.588781e-001
3.283107199787330e-010	-1.813787e+000	3.588624e-001
3.313107199787330e-010	-1.779969e+000	3.587854e-001
3.343107199787329e-010	-1.740727e+000	3.586447e-001
3.363107199787329e-010	-1.711819e+000	3.585157e-001
3.383107199787329e-010	-1.680902e+000	3.583583e-001
3.403107199787329e-010	-1.647750e+000	3.581737e-001
3.423107199787329e-010	-1.613305e+000	3.579598e-001
3.443107199787329e-010	-1.577569e+000	3.577165e-001
3.463107199787329e-010	-1.540541e+000	3.574439e-001
3.483107199787329e-010	-1.502222e+000	3.571419e-001
3.503107199787329e-010	-1.462610e+000	3.568105e-001
3.523107199787329e-010	-1.421707e+000	3.564497e-001
3.553107199787329e-010	-1.359510e+000	3.558480e-001
3.573107199787329e-010	-1.317294e+000	3.554060e-001
3.593107199787329e-010	-1.274621e+000	3.549303e-001
3.603107199787329e-010	-1.253148e+000	3.546795e-001
3.613107199787328e-010	-1.231603e+000	3.544196e-001
3.623107199787328e-010	-1.209998e+000	3.541505e-001
3.633107199787328e-010	-1.188346e+000	3.538723e-001
3.643107199787328e-010	-1.166659e+000	3.535845e-001
3.653107199787328e-010	-1.144948e+000	3.532871e-001
3.663107199787328e-010	-1.123223e+000	3.529795e-001
3.673107199787328e-010	-1.101495e+000	3.526617e-001
3.683107199787328e-010	-1.079772e+000	3.523335e-001
3.693107199787328e-010	-1.058065e+000	3.519945e-001
3.703107199787328e-010	-1.036382e+000	3.516445e-001
3.713107199787328e-010	-1.014730e+000	3.512830e-001
3.723107199787328e-010	-9.931158e-001	3.509097e-001
3.733107199787328e-010	-9.715471e-001	3.505243e-001
3.743107199787328e-010	-9.500294e-001	3.501264e-001
3.753107199787328e-010	-9.285684e-001	3.497155e-001
3.763107199787328e-010	-9.071688e-001	3.492913e-001
3.773107199787328e-010	-8.858350e-001	3.488534e-001
3.783107199787328e-010	-8.645709e-001	3.484010e-001
3.793107199787328e-010	-8.433797e-001	3.479337e-001
3.803107199787328e-010	-8.222640e-001	3.474510e-001
3.813107199787328e-010	-8.012260e-001	3.469523e-001
3.823107199787328e-010	-7.802675e-001	3.464368e-001
3.833107199787328e-010	-7.593895e-001	3.459040e-001
3.843107199787328e-010	-7.385929e-001	3.453529e-001
3.853107199787328e-010	-7.178776e-001	3.447828e-001
3.863107199787328e-010	-6.972434e-001	3.441931e-001
3.873107199787328e-010	-6.766898e-001	3.435825e-001
3.883107199787328e-010	-6.562154e-001	3.429501e-001
3.893107199787328e-010	-6.358187e-001	3.422949e-001
3.903107199787327e-010	-6.154978e-001	3.416157e-001
3.913107199787327e-010	-5.952502e-001	3.409112e-001
3.923107199787327e-010	-5.750733e-001	3.401800e-001
3.933107199787327e-010	-5.549640e-001	3.394207e-001
3.943107199787327e-010	-5.349188e-001	3.386317e-001
3.953107199787327e-010	-5.149341e-001	3.378113e-001
