time	V(vcj2b)
5.353107199787322e-010	1.043076e+000
5.383107199787322e-010	1.061533e+000
5.403107199787322e-010	1.071392e+000
5.423107199787322e-010	1.079296e+000
5.443107199787322e-010	1.085170e+000
5.463107199787322e-010	1.089190e+000
5.483107199787322e-010	1.091355e+000
5.503107199787322e-010	1.091666e+000
5.523107199787322e-010	1.090124e+000
5.543107199787322e-010	1.086727e+000
5.563107199787322e-010	1.081476e+000
5.593107199787322e-010	1.070569e+000
5.613107199787322e-010	1.061265e+000
5.633107199787322e-010	1.050404e+000
5.643107199787321e-010	1.044409e+000
5.653107199787321e-010	1.038050e+000
5.663107199787321e-010	1.031333e+000
5.673107199787321e-010	1.024269e+000
5.683107199787321e-010	1.016864e+000
5.693107199787321e-010	1.009127e+000
5.703107199787321e-010	1.001068e+000
5.713107199787321e-010	9.926946e-001
5.723107199787321e-010	9.840156e-001
5.733107199787321e-010	9.750397e-001
5.743107199787321e-010	9.657758e-001
5.753107199787321e-010	9.562324e-001
5.763107199787321e-010	9.464182e-001
5.773107199787321e-010	9.363418e-001
5.783107199787321e-010	9.260119e-001
5.793107199787321e-010	9.154367e-001
5.803107199787321e-010	9.046250e-001
5.813107199787321e-010	8.935849e-001
5.823107199787321e-010	8.823247e-001
5.833107199787321e-010	8.708525e-001
5.843107199787321e-010	8.591763e-001
5.853107199787321e-010	8.473041e-001
5.863107199787321e-010	8.352436e-001
5.873107199787321e-010	8.230023e-001
5.883107199787321e-010	8.105878e-001
5.893107199787321e-010	7.980073e-001
5.903107199787321e-010	7.852679e-001
5.913107199787321e-010	7.723767e-001
5.923107199787321e-010	7.593404e-001
5.933107199787320e-010	7.461656e-001
5.943107199787320e-010	7.328587e-001
5.953107199787320e-010	7.194259e-001
5.963107199787320e-010	7.058734e-001
5.973107199787320e-010	6.922069e-001
5.983107199787320e-010	6.784322e-001
5.993107199787320e-010	6.645547e-001
6.003107199787320e-010	6.505797e-001
6.013107199787320e-010	6.365122e-001
6.023107199787320e-010	6.223573e-001
6.033107199787320e-010	6.081196e-001
6.043107199787320e-010	5.938038e-001
6.053107199787320e-010	5.794142e-001
6.063107199787320e-010	5.649551e-001
6.073107199787320e-010	5.504304e-001
6.083107199787320e-010	5.358443e-001
6.093107199787320e-010	5.212004e-001
6.103107199787320e-010	5.065026e-001
6.113107199787320e-010	4.917544e-001
6.123107199787320e-010	4.769592e-001
6.133107199787320e-010	4.621207e-001
6.143107199787320e-010	4.472422e-001
6.153107199787320e-010	4.323272e-001
6.163107199787320e-010	4.173791e-001
6.173107199787320e-010	4.024014e-001
6.183107199787320e-010	3.873978e-001
6.193107199787320e-010	3.723722e-001
6.203107199787320e-010	3.573284e-001
6.213107199787320e-010	3.422709e-001
6.223107199787319e-010	3.272044e-001
6.233107199787319e-010	3.121339e-001
6.243107199787319e-010	2.970652e-001
6.253107199787319e-010	2.820047e-001
6.263107199787319e-010	2.669594e-001
6.273107199787319e-010	2.519376e-001
6.283107199787319e-010	2.369482e-001
6.293107199787319e-010	2.220017e-001
6.303107199787319e-010	2.071096e-001
6.313107199787319e-010	1.922851e-001
6.323107199787319e-010	1.775427e-001
6.333107199787319e-010	1.628987e-001
6.343107199787319e-010	1.483716e-001
6.353107199787319e-010	1.339830e-001
6.363107199787319e-010	1.197600e-001
6.373107199787319e-010	1.057387e-001
6.383107199787319e-010	9.196799e-002
6.393107199787319e-010	7.851597e-002
6.403107199787319e-010	6.547201e-002
6.413107199787319e-010	5.293799e-002
6.423107199787319e-010	4.101007e-002
6.433107199787319e-010	2.976253e-002
6.443107199787319e-010	1.924414e-002
6.453107199787319e-010	9.483808e-003
6.463107199787319e-010	4.966442e-004
6.473107199787319e-010	-7.710327e-003
6.483107199787319e-010	-1.513372e-002
6.493107199787319e-010	-2.177200e-002
6.503107199787319e-010	-2.762495e-002
6.513107199787318e-010	-3.269331e-002
6.523107199787318e-010	-3.697870e-002
6.533107199787318e-010	-4.048351e-002
6.543107199787318e-010	-4.321086e-002
6.553107199787318e-010	-4.516466e-002
6.563107199787318e-010	-4.634953e-002
6.573107199787318e-010	-4.677083e-002
6.583107199787318e-010	-4.643465e-002
6.593107199787318e-010	-4.534784e-002
6.603107199787318e-010	-4.351795e-002
6.613107199787318e-010	-4.095328e-002
6.623107199787318e-010	-3.766283e-002
6.633107199787318e-010	-3.365633e-002
6.643107199787318e-010	-2.894420e-002
6.653107199787318e-010	-2.353755e-002
6.663107199787318e-010	-1.744818e-002
6.673107199787318e-010	-1.068856e-002
6.683107199787318e-010	-3.271801e-003
6.693107199787318e-010	4.788345e-003
6.703107199787318e-010	1.347751e-002
6.713107199787318e-010	2.278071e-002
6.723107199787318e-010	3.268241e-002
6.733107199787318e-010	4.316648e-002
6.743107199787318e-010	5.421629e-002
6.753107199787318e-010	6.581465e-002
6.763107199787318e-010	7.794392e-002
6.773107199787318e-010	9.058595e-002
6.793107199787318e-010	1.173336e-001
6.813107199787317e-010	1.459042e-001
6.843107199787317e-010	1.918283e-001
6.873107199787317e-010	2.409368e-001
6.903107199787317e-010	2.926537e-001
6.933107199787317e-010	3.463918e-001
6.963107199787317e-010	4.015592e-001
6.993107199787317e-010	4.575664e-001
7.023107199787317e-010	5.138328e-001
7.053107199787317e-010	5.697933e-001
7.083107199787317e-010	6.249035e-001
7.113107199787316e-010	6.786457e-001
7.125964342644459e-010	7.012200e-001
7.138821485501602e-010	7.233332e-001
7.151678628358745e-010	7.449853e-001
7.164535771215888e-010	7.661761e-001
7.177392914073030e-010	7.869058e-001
7.190250056930173e-010	8.071744e-001
7.203107199787316e-010	8.269817e-001
7.213107199787316e-010	8.419348e-001
7.223107199787316e-010	8.565320e-001
7.233107199787316e-010	8.707613e-001
7.243107199787316e-010	8.846111e-001
7.253107199787316e-010	8.980708e-001
7.263107199787316e-010	9.111297e-001
7.283107199787316e-010	9.360073e-001
7.303107199787316e-010	9.591730e-001
7.323107199787316e-010	9.805650e-001
7.343107199787316e-010	1.000131e+000
7.353107199787316e-010	1.009215e+000
7.373107199787316e-010	1.025964e+000
7.403107199787315e-010	1.047488e+000
7.433107199787315e-010	1.064638e+000
7.443107199787315e-010	1.069379e+000
7.463107199787315e-010	1.077397e+000
7.483107199787315e-010	1.083391e+000
7.503107199787315e-010	1.087533e+000
7.523107199787315e-010	1.089823e+000
7.543107199787315e-010	1.090262e+000
7.563107199787315e-010	1.088848e+000
7.583107199787315e-010	1.085583e+000
7.603107199787315e-010	1.080465e+000
7.633107199787315e-010	1.069758e+000
7.653107199787315e-010	1.060585e+000
7.673107199787314e-010	1.049856e+000
7.683107199787314e-010	1.043927e+000
7.693107199787314e-010	1.037632e+000
7.703107199787314e-010	1.030980e+000
7.713107199787314e-010	1.023979e+000
7.723107199787314e-010	1.016638e+000
7.733107199787314e-010	1.008964e+000
7.743107199787314e-010	1.000966e+000
7.753107199787314e-010	9.926541e-001
7.763107199787314e-010	9.840356e-001
7.773107199787314e-010	9.751194e-001
7.783107199787314e-010	9.659142e-001
7.793107199787314e-010	9.564286e-001
7.803107199787314e-010	9.466712e-001
7.813107199787314e-010	9.366507e-001
7.823107199787314e-010	9.263755e-001
7.833107199787314e-010	9.158542e-001
7.843107199787314e-010	9.050950e-001
7.853107199787314e-010	8.941063e-001
7.863107199787314e-010	8.828964e-001
7.873107199787314e-010	8.714733e-001
7.883107199787314e-010	8.598450e-001
7.893107199787314e-010	8.480194e-001
7.903107199787314e-010	8.360042e-001
7.913107199787314e-010	8.238069e-001
7.923107199787314e-010	8.114351e-001
7.933107199787314e-010	7.988960e-001
7.943107199787314e-010	7.861967e-001
7.953107199787313e-010	7.733442e-001
7.963107199787313e-010	7.603452e-001
7.973107199787313e-010	7.472063e-001
7.983107199787313e-010	7.339340e-001
7.993107199787313e-010	7.205344e-001
8.003107199787313e-010	7.070137e-001
8.013107199787313e-010	6.933777e-001
8.023107199787313e-010	6.796319e-001
8.033107199787313e-010	6.657821e-001
8.043107199787313e-010	6.518334e-001
8.053107199787313e-010	6.377908e-001
8.063107199787313e-010	6.236594e-001
8.073107199787313e-010	6.094440e-001
8.083107199787313e-010	5.951490e-001
8.093107199787313e-010	5.807788e-001
8.103107199787313e-010	5.663378e-001
8.113107199787313e-010	5.518301e-001
8.123107199787313e-010	5.372595e-001
8.133107199787313e-010	5.226300e-001
8.143107199787313e-010	5.079451e-001
8.153107199787313e-010	4.932086e-001
8.163107199787313e-010	4.784241e-001
8.173107199787313e-010	4.635949e-001
8.183107199787313e-010	4.487244e-001
8.193107199787313e-010	4.338163e-001
8.203107199787313e-010	4.188739e-001
8.213107199787313e-010	4.039008e-001
8.223107199787313e-010	3.889006e-001
8.233107199787313e-010	3.738772e-001
8.243107199787312e-010	3.588345e-001
8.253107199787312e-010	3.437770e-001
8.263107199787312e-010	3.287092e-001
8.273107199787312e-010	3.136363e-001
8.283107199787312e-010	2.985640e-001
8.293107199787312e-010	2.834987e-001
8.303107199787312e-010	2.684474e-001
8.313107199787312e-010	2.534182e-001
8.323107199787312e-010	2.384202e-001
8.333107199787312e-010	2.234636e-001
8.343107199787312e-010	2.085600e-001
8.353107199787312e-010	1.937224e-001
8.363107199787312e-010	1.789653e-001
8.373107199787312e-010	1.643050e-001
8.383107199787312e-010	1.497597e-001
8.393107199787312e-010	1.353503e-001
8.403107199787312e-010	1.211026e-001
8.413107199787312e-010	1.070520e-001
8.423107199787312e-010	9.324759e-002
8.433107199787312e-010	7.975717e-002
8.443107199787312e-010	6.666888e-002
8.453107199787312e-010	5.408442e-002
8.463107199787312e-010	4.210099e-002
8.473107199787312e-010	3.079445e-002
8.483107199787312e-010	2.021510e-002
8.493107199787312e-010	1.039294e-002
8.503107199787312e-010	1.343681e-003
8.513107199787312e-010	-6.925400e-003
8.523107199787312e-010	-1.441079e-002
8.533107199787311e-010	-2.111087e-002
8.543107199787311e-010	-2.702536e-002
8.553107199787311e-010	-3.215497e-002
8.563107199787311e-010	-3.650125e-002
8.573107199787311e-010	-4.006654e-002
8.583107199787311e-010	-4.285395e-002
8.593107199787311e-010	-4.486731e-002
8.603107199787311e-010	-4.611121e-002
8.613107199787311e-010	-4.659096e-002
8.623107199787311e-010	-4.631263e-002
8.633107199787311e-010	-4.528300e-002
8.643107199787311e-010	-4.350960e-002
8.653107199787311e-010	-4.100065e-002
8.663107199787311e-010	-3.776515e-002
8.673107199787311e-010	-3.381275e-002
8.683107199787311e-010	-2.915385e-002
8.693107199787311e-010	-2.379952e-002
8.703107199787311e-010	-1.776151e-002
8.713107199787311e-010	-1.105225e-002
8.723107199787311e-010	-3.684807e-003
8.733107199787311e-010	4.327095e-003
8.743107199787311e-010	1.296913e-002
8.753107199787311e-010	2.222635e-002
8.763107199787311e-010	3.208326e-002
8.773107199787311e-010	4.252376e-002
8.783107199787311e-010	5.353124e-002
8.793107199787311e-010	6.508857e-002
8.803107199787311e-010	7.717811e-002
8.813107199787311e-010	8.978176e-002
8.833107199787310e-010	1.164568e-001
8.853107199787310e-010	1.449604e-001
8.883107199787310e-010	1.907951e-001
8.913107199787310e-010	2.398277e-001
8.943107199787310e-010	2.914826e-001
8.973107199787310e-010	3.451728e-001
9.003107199787310e-010	4.003063e-001
9.033107199787310e-010	4.562935e-001
9.063107199787310e-010	5.125537e-001
9.093107199787310e-010	5.685211e-001
9.123107199787309e-010	6.236510e-001
9.153107199787309e-010	6.774250e-001
9.167392914073024e-010	7.025243e-001
9.181678628358738e-010	7.270416e-001
9.195964342644452e-010	7.509768e-001
9.210250056930166e-010	7.743300e-001
9.224535771215881e-010	7.971011e-001
9.238821485501595e-010	8.192902e-001
9.253107199787309e-010	8.408973e-001
9.263107199787309e-010	8.555185e-001
9.273107199787309e-010	8.697727e-001
9.283107199787309e-010	8.836483e-001
9.293107199787309e-010	8.971344e-001
9.303107199787309e-010	9.102207e-001
9.323107199787309e-010	9.351552e-001
9.343107199787311e-010	9.583803e-001
9.363107199787313e-010	9.798340e-001
9.383107199787315e-010	9.994638e-001
9.393107199787316e-010	1.008581e+000
9.413107199787318e-010	1.025396e+000
9.443107199787321e-010	1.047021e+000
9.473107199787324e-010	1.064275e+000
9.483107199787325e-010	1.069050e+000
9.503107199787327e-010	1.077137e+000
9.523107199787329e-010	1.083201e+000
9.543107199787331e-010	1.087412e+000
9.563107199787333e-010	1.089771e+000
9.583107199787335e-010	1.090276e+000
9.603107199787337e-010	1.088929e+000
9.623107199787339e-010	1.085729e+000
9.643107199787341e-010	1.080676e+000
9.673107199787344e-010	1.070062e+000
9.693107199787346e-010	1.060950e+000
9.713107199787348e-010	1.050279e+000
9.733107199787350e-010	1.038112e+000
9.743107199787351e-010	1.031487e+000
9.753107199787352e-010	1.024513e+000
9.763107199787353e-010	1.017198e+000
9.773107199787354e-010	1.009550e+000
9.783107199787355e-010	1.001578e+000
9.793107199787356e-010	9.932902e-001
9.803107199787357e-010	9.846959e-001
9.813107199787358e-010	9.758034e-001
