time	V(N001,VCj2b)	V(N002,VCj2b)
2.523107199787332e-010	-4.242273e-001	3.761238e-001
2.533107199787332e-010	-4.580782e-001	3.774965e-001
2.543107199787332e-010	-4.922789e-001	3.788927e-001
2.553107199787332e-010	-5.267883e-001	3.803095e-001
2.563107199787332e-010	-5.615649e-001	3.817443e-001
2.573107199787332e-010	-5.965674e-001	3.831944e-001
2.583107199787332e-010	-6.317544e-001	3.846575e-001
2.593107199787332e-010	-6.670846e-001	3.861311e-001
2.603107199787332e-010	-7.025168e-001	3.876131e-001
2.613107199787332e-010	-7.380099e-001	3.891014e-001
2.623107199787332e-010	-7.735231e-001	3.905939e-001
2.633107199787332e-010	-8.090160e-001	3.920887e-001
2.643107199787332e-010	-8.444484e-001	3.935840e-001
2.653107199787332e-010	-8.797806e-001	3.950781e-001
2.663107199787332e-010	-9.149732e-001	3.965693e-001
2.673107199787332e-010	-9.499877e-001	3.980561e-001
2.693107199787332e-010	-1.019330e+000	4.010105e-001
2.713107199787332e-010	-1.087509e+000	4.039299e-001
2.733107199787332e-010	-1.154238e+000	4.068044e-001
2.763107199787331e-010	-1.251020e+000	4.110115e-001
2.793107199787331e-010	-1.343063e+000	4.150687e-001
2.823107199787331e-010	-1.429584e+000	4.189516e-001
2.853107199787331e-010	-1.509885e+000	4.226393e-001
2.883107199787331e-010	-1.583358e+000	4.261134e-001
2.913107199787331e-010	-1.649493e+000	4.293588e-001
2.943107199787331e-010	-1.707878e+000	4.323623e-001
2.973107199787331e-010	-1.758198e+000	4.351131e-001
3.003107199787331e-010	-1.800241e+000	4.376028e-001
3.017392914073045e-010	-1.817297e+000	4.386955e-001
3.031678628358759e-010	-1.832455e+000	4.397258e-001
3.045964342644473e-010	-1.845716e+000	4.406938e-001
3.060250056930188e-010	-1.857078e+000	4.415995e-001
3.074535771215902e-010	-1.866541e+000	4.424428e-001
3.088821485501616e-010	-1.874107e+000	4.432238e-001
3.103107199787330e-010	-1.879775e+000	4.439425e-001
3.123107199787330e-010	-1.884649e+000	4.448415e-001
3.133107199787330e-010	-1.885751e+000	4.452447e-001
3.143107199787330e-010	-1.885976e+000	4.456168e-001
3.153107199787330e-010	-1.885334e+000	4.459580e-001
3.163107199787330e-010	-1.883839e+000	4.462683e-001
3.173107199787330e-010	-1.881501e+000	4.465479e-001
3.193107199787330e-010	-1.874356e+000	4.470146e-001
3.213107199787330e-010	-1.864013e+000	4.473588e-001
3.233107199787330e-010	-1.850596e+000	4.475812e-001
3.253107199787330e-010	-1.834240e+000	4.476826e-001
3.263107199787330e-010	-1.825004e+000	4.476883e-001
3.283107199787330e-010	-1.804506e+000	4.476099e-001
3.313107199787330e-010	-1.768982e+000	4.472706e-001
3.343107199787329e-010	-1.728194e+000	4.466685e-001
3.363107199787329e-010	-1.698345e+000	4.461228e-001
3.383107199787329e-010	-1.666561e+000	4.454629e-001
3.403107199787329e-010	-1.632618e+000	4.446883e-001
3.423107199787329e-010	-1.597452e+000	4.438037e-001
3.443107199787329e-010	-1.561064e+000	4.428092e-001
3.463107199787329e-010	-1.523453e+000	4.417048e-001
3.483107199787329e-010	-1.484620e+000	4.404905e-001
3.503107199787329e-010	-1.444564e+000	4.391663e-001
3.523107199787329e-010	-1.403286e+000	4.377322e-001
3.553107199787329e-010	-1.340633e+000	4.353814e-001
3.573107199787329e-010	-1.298184e+000	4.336795e-001
3.593107199787329e-010	-1.255331e+000	4.318697e-001
3.603107199787329e-010	-1.233787e+000	4.309244e-001
3.613107199787328e-010	-1.212183e+000	4.299520e-001
3.623107199787328e-010	-1.190530e+000	4.289522e-001
3.633107199787328e-010	-1.168841e+000	4.279253e-001
3.643107199787328e-010	-1.147127e+000	4.268712e-001
3.653107199787328e-010	-1.125399e+000	4.257895e-001
3.663107199787328e-010	-1.103667e+000	4.246801e-001
3.673107199787328e-010	-1.081940e+000	4.235431e-001
3.683107199787328e-010	-1.060228e+000	4.223781e-001
3.693107199787328e-010	-1.038538e+000	4.211848e-001
3.703107199787328e-010	-1.016879e+000	4.199632e-001
3.713107199787328e-010	-9.952586e-001	4.187131e-001
3.723107199787328e-010	-9.736825e-001	4.174341e-001
3.733107199787328e-010	-9.521572e-001	4.161260e-001
3.743107199787328e-010	-9.306881e-001	4.147885e-001
3.753107199787328e-010	-9.092803e-001	4.134212e-001
3.763107199787328e-010	-8.879382e-001	4.120238e-001
3.773107199787328e-010	-8.666655e-001	4.105958e-001
3.783107199787328e-010	-8.454656e-001	4.091370e-001
3.793107199787328e-010	-8.243413e-001	4.076468e-001
3.803107199787328e-010	-8.032946e-001	4.061247e-001
3.813107199787328e-010	-7.823275e-001	4.045701e-001
3.823107199787328e-010	-7.614411e-001	4.029827e-001
3.833107199787328e-010	-7.406361e-001	4.013617e-001
3.843107199787328e-010	-7.199127e-001	3.997064e-001
3.853107199787328e-010	-6.992708e-001	3.980162e-001
3.863107199787328e-010	-6.787094e-001	3.962904e-001
3.873107199787328e-010	-6.582277e-001	3.945279e-001
3.883107199787328e-010	-6.378241e-001	3.927281e-001
3.893107199787328e-010	-6.174966e-001	3.908899e-001
3.903107199787327e-010	-5.972428e-001	3.890125e-001
3.913107199787327e-010	-5.770601e-001	3.870942e-001
3.923107199787327e-010	-5.569455e-001	3.851343e-001
3.933107199787327e-010	-5.368955e-001	3.831313e-001
3.943107199787327e-010	-5.169065e-001	3.810837e-001
3.953107199787327e-010	-4.969745e-001	3.789900e-001
3.963107199787327e-010	-4.770952e-001	3.768485e-001
3.973107199787327e-010	-4.572642e-001	3.746573e-001
3.983107199787327e-010	-4.374767e-001	3.724141e-001
3.993107199787327e-010	-4.177277e-001	3.701169e-001
4.003107199787327e-010	-3.980122e-001	3.677632e-001
4.013107199787327e-010	-3.783247e-001	3.653500e-001
4.023107199787327e-010	-3.586600e-001	3.628743e-001
4.033107199787327e-010	-3.390124e-001	3.603327e-001
4.043107199787327e-010	-3.193761e-001	3.577214e-001
4.053107199787327e-010	-2.997455e-001	3.550363e-001
4.063107199787327e-010	-2.801148e-001	3.522723e-001
4.073107199787327e-010	-2.604780e-001	3.494242e-001
4.083107199787327e-010	-2.408293e-001	3.464861e-001
4.093107199787327e-010	-2.211628e-001	3.434510e-001
4.103107199787327e-010	-2.014726e-001	3.403112e-001
4.113107199787327e-010	-1.817530e-001	3.370578e-001
4.123107199787327e-010	-1.619981e-001	3.336809e-001
4.133107199787327e-010	-1.422024e-001	3.301689e-001
